Loop,DMRG Energy,Bond Dimension,Discarded Weights
-1,-5.41155568136673E+03,5,1.42314447911623E-03
0,-5.41186633313840E+03,6,4.10045667641893E-04
1,-5.41187227277828E+03,7,6.09134648220996E-04
2,-5.41188116618315E+03,8,7.52696146021885E-04
3,-5.41188400462716E+03,9,6.21520369920414E-04
4,-5.41189405088707E+03,10,4.92913456884786E-04
5,-5.41189646531939E+03,11,7.43314702742885E-04
6,-5.41191121369085E+03,13,7.76675182386103E-04
7,-5.41192208441079E+03,15,8.99051914777194E-04
8,-5.41192800415181E+03,17,6.78503543149697E-04
9,-5.41194081171534E+03,19,6.97059924035503E-04
10,-5.41194575200126E+03,21,7.78662442964065E-04
11,-5.41195941128069E+03,24,5.95611564174651E-04
12,-5.41196843708594E+03,27,6.57375017135168E-04
13,-5.41197236977151E+03,30,5.53035070521405E-04
14,-5.41198024030344E+03,33,4.74518771332895E-04
15,-5.41198944990258E+03,37,4.12679937759058E-04
16,-5.41199543952913E+03,41,4.54162057446989E-04
17,-5.41199840329363E+03,46,4.01503009089286E-04
18,-5.41200451459572E+03,51,3.36529049694705E-04
19,-5.41200734395663E+03,57,2.34177028903331E-04
20,-5.41201112322095E+03,63,2.34654821849496E-04
21,-5.41201341909812E+03,70,2.02455003773130E-04
22,-5.41201705046902E+03,77,1.71750474184129E-04
23,-5.41201866486543E+03,85,1.40080275791593E-04
24,-5.41202095335531E+03,94,1.23758014158575E-04
25,-5.41202246829513E+03,104,1.18879930106428E-04
26,-5.41202379710867E+03,115,1.10449269609121E-04
27,-5.41202473631936E+03,127,1.00727452350251E-04
28,-5.41202571901656E+03,140,9.51867313304044E-05
29,-5.41202668324059E+03,154,9.24660788371054E-05
30,-5.41202638111502E+03,150,9.12047460586934E-05
31,-5.41202724808385E+03,165,8.68501028277865E-05
32,-5.41202805867026E+03,182,8.35778818383881E-05
33,-5.41202911576545E+03,201,8.72650875050468E-05
34,-5.41203010726503E+03,222,8.62880732969985E-05
35,-5.41203099859698E+03,245,8.20192920825150E-05
36,-5.41203179280854E+03,270,7.83554737126225E-05
37,-5.41203254703762E+03,297,7.65575168719821E-05
38,-5.41203329850957E+03,327,7.17820447195634E-05
39,-5.41203403359249E+03,360,6.71367474615814E-05
40,-5.41203465313222E+03,397,6.38395821153973E-05
41,-5.41203522564517E+03,437,5.94212051280251E-05
42,-5.41203579229471E+03,481,5.61612260715877E-05
43,-5.41203642456658E+03,530,5.19117322299111E-05
